,Country names,DATAFLOW,LAST UPDATE,freq,indic_is,unit,ind_type,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
76,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2019,17.18,
77,Germany,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DE,2021,7.75,b
78,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2005,18.79,
79,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2006,20.33,
80,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2007,25.59,
81,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2008,23.26,
82,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2009,27.32,
83,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2010,28.72,
84,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2011,26.9,
85,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2013,22.36,
86,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2015,36.47,
87,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2017,23.51,
88,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2019,37.06,
89,Denmark,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,DK,2021,36.33,
90,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2005,8.88,
91,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2006,10.64,
92,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2007,12.05,
93,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2008,12.9,
94,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2009,14.14,
95,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2010,14.56,
96,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2011,15.92,
97,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2013,17.23,
98,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2015,17.2,
99,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2017,16.93,
100,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2019,16.79,
101,Spain,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EA,2021,14.18,b
102,Estonia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EE,2005,18.28,
103,Estonia,ESTAT:TIN00102(1.0),15/12/22 11:00:00,A,I_IUJOB,PC_IND,IND_TOTAL,EE,2006,16.89,
